Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,79.820000,79.989998,75.040001,76.339996,76.339996,54763000
2020-09-14,76.800003,78.820000,76.260002,77.900002,77.900002,47448700
2020-09-15,77.660004,80.330002,75.970001,78.930000,78.930000,57874400
2020-09-16,79.349998,79.720001,76.540001,76.660004,76.660004,38393500
2020-09-17,74.879997,76.629997,74.199997,76.550003,76.550003,55619100
2020-09-18,77.000000,77.400002,73.849998,74.930000,74.930000,51082900
2020-09-21,74.230003,77.980003,73.879997,77.940002,77.940002,61312000
2020-09-22,78.360001,78.790001,75.269997,77.699997,77.699997,56044700
2020-09-23,77.389999,77.910004,74.339996,74.730003,74.730003,42327500
2020-09-24,74.540001,77.250000,73.900002,75.820000,75.820000,57540900
2020-09-25,76.349998,78.199997,74.669998,78.059998,78.059998,48206200
2020-09-28,79.120003,79.570000,77.519997,79.480003,79.480003,48005500
2020-09-29,79.300003,82.550003,79.300003,81.769997,81.769997,61568900
2020-09-30,81.750000,82.940002,80.660004,81.989998,81.989998,51533700
2020-10-01,83.059998,85.250000,82.860001,84.860001,84.860001,52177100
2020-10-02,82.580002,84.650002,81.660004,81.800003,81.800003,52855100
2020-10-05,82.550003,86.279999,82.550003,86.150002,86.150002,47056500
2020-10-06,86.209999,87.250000,83.540001,84.480003,84.480003,52725400
2020-10-07,86.099998,87.790001,85.650002,86.690002,86.690002,43045700
2020-10-08,88.110001,88.720001,85.949997,86.510002,86.510002,54240700
2020-10-09,84.739998,85.750000,82.349998,83.099998,83.099998,80354400
2020-10-12,83.650002,85.129997,83.120003,84.290001,84.290001,47669700
2020-10-13,84.860001,86.089996,83.970001,85.279999,85.279999,42764100
2020-10-14,85.860001,85.959999,83.459999,84.209999,84.209999,40403000
2020-10-15,83.400002,84.720001,82.419998,83.129997,83.129997,33696400
2020-10-16,83.540001,83.989998,82.410004,83.169998,83.169998,31474300
2020-10-19,83.620003,84.650002,81.529999,82.000000,82.000000,36689100
2020-10-20,82.160004,82.690002,80.580002,81.559998,81.559998,38219400
2020-10-21,81.720001,81.930000,79.190002,79.199997,79.199997,36426400
2020-10-22,79.650002,80.820000,78.419998,79.419998,79.419998,38006800
2020-10-23,80.930000,81.989998,79.330002,81.959999,81.959999,46557700
2020-10-26,82.550003,84.970001,80.860001,82.230003,82.230003,69423700
2020-10-27,82.000000,82.370003,77.570000,78.879997,78.879997,156669500
2020-10-28,78.730003,78.959999,75.760002,76.400002,76.400002,76529900
2020-10-29,76.750000,79.180000,76.290001,78.019997,78.019997,52784100
2020-10-30,77.089996,77.699997,74.230003,75.290001,75.290001,51349000
2020-11-02,75.849998,76.339996,73.760002,74.699997,74.699997,45760700
2020-11-03,74.930000,77.080002,74.599998,76.580002,76.580002,41231800
2020-11-04,80.250000,81.849998,78.970001,81.349998,81.349998,66579700
2020-11-05,83.269997,83.500000,81.849998,83.000000,83.000000,46542300
2020-11-06,83.519997,86.089996,82.669998,85.879997,85.879997,53829900
2020-11-09,84.239998,87.050003,82.769997,83.120003,83.120003,58580700
2020-11-10,81.930000,82.129997,77.629997,77.989998,77.989998,67137200
2020-11-11,79.389999,81.470001,78.970001,81.279999,81.279999,44611300
2020-11-12,81.320000,83.000000,80.300003,81.839996,81.839996,37242600
2020-11-13,82.730003,83.110001,80.699997,81.430000,81.430000,30423200
2020-11-16,81.209999,83.779999,80.480003,83.730003,83.730003,38640800
2020-11-17,83.930000,84.809998,82.910004,83.360001,83.360001,29473500
2020-11-18,83.010002,83.959999,82.220001,82.540001,82.540001,29968000
2020-11-19,82.389999,85.639999,81.720001,85.540001,85.540001,50116800
2020-11-20,85.279999,86.099998,84.470001,84.639999,84.639999,35008400
2020-11-23,85.519997,87.540001,84.620003,85.309998,85.309998,46505000
2020-11-24,85.720001,86.110001,83.320000,85.070000,85.070000,36839200
2020-11-25,85.760002,87.839996,85.519997,86.709999,86.709999,41349700
2020-11-27,87.989998,88.000000,86.360001,87.190002,87.190002,22717600
2020-11-30,87.330002,92.739998,86.529999,92.660004,92.660004,84483000
2020-12-01,92.250000,93.900002,90.779999,92.629997,92.629997,58583600
2020-12-02,92.889999,96.370003,92.529999,93.739998,93.739998,57988800
2020-12-03,94.059998,94.699997,92.010002,92.309998,92.309998,35859700
2020-12-04,92.580002,94.580002,90.629997,94.040001,94.040001,45570300
2020-12-07,94.949997,95.000000,92.970001,94.070000,94.070000,39815700
2020-12-08,94.050003,94.739998,91.900002,92.919998,92.919998,33907500
2020-12-09,92.760002,94.699997,89.160004,89.830002,89.830002,52170400
2020-12-10,89.550003,92.089996,89.029999,91.660004,91.660004,33804400
2020-12-11,91.540001,92.330002,90.160004,91.650002,91.650002,28368100
2020-12-14,92.209999,95.410004,91.849998,94.779999,94.779999,48026400
2020-12-15,95.930000,97.980003,95.449997,97.120003,97.120003,57232700
